"","NOM_ENT","NOM_MUN","NOM_LOC","ALTITUD","POBTOT","lon_dd","lat_dd","CVE_EDO","CVE_MUN","CVE_LOC","COV_","COV_ID"
"80692","Nuevo Le,"Abasolo","ABASOLO","0518",1976,-100.398888889,25.9452777778,"19","001","0001",80693,80692
"80693","Nuevo Le,"Abasolo","LA GLORIA","0499",7,-100.379722222,25.9372222222,"19","001","0008",80694,80693
"80694","Nuevo Le,"Abasolo","LOS LIGEROS","0501",3,-100.393888889,25.9319444444,"19","001","0009",80695,80694
"80695","Nuevo Le,"Abasolo","LA MURALLA","0500",4,-100.395555556,25.9388888889,"19","001","0011",80696,80695
"80696","Nuevo Le,"Abasolo","ABASOLO","0516",22,-100.409166667,25.9386111111,"19","001","0021",80697,80696
"80697","Nuevo Le,"Abasolo","CASA ROSA (LOS OLIVOS)","0515",6,-100.403888889,25.9466666667,"19","001","0025",80698,80697
"80698","Nuevo Le,"Abasolo","YAMALLEL","0573",4,-100.428611111,25.9430555556,"19","001","0033",80699,80698
"80699","Nuevo Le,"Abasolo","LOS LOZANO","0520",2,-100.410277778,25.9538888889,"19","001","0036",80700,80699
"80700","Nuevo Le,"Abasolo","LA PLACETA","0518",4,-100.409444444,25.9519444444,"19","001","0037",80701,80700
"80701","Nuevo Le,"Abasolo","CUATRO VIENTOS","0500",4,-100.385,25.9391666667,"19","001","0040",80702,80701
"80702","Nuevo Le,"Abasolo","LOS DIEZ (LA TRIPONA)","0520",5,-100.4225,25.9541666667,"19","001","0042",80703,80702
"80703","Nuevo Le,"Abasolo","LAS PALMAS","0502",4,-100.416111111,25.9480555556,"19","001","0044",80704,80703
"80704","Nuevo Le,"Abasolo","COLINAS DEL FRAILE","0540",34,-100.428888889,25.9527777778,"19","001","0046",80705,80704
"80705","Nuevo Le,"Abasolo","ALBERTO VILLARREAL","0500",716,-100.411666667,25.9438888889,"19","001","0047",80706,80705
"80706","Nuevo Le,"Agualeguas","AGUALEGUAS","0180",1995,-99.5391666667,26.3108333333,"19","002","0001",80707,80706
